file_name,name,email,phone,years_experience,skill_salesforce,skill_apex,skill_visualforce,skill_soql,skill_sosl,skill_lwc,skill_lightning,skill_lightning web components,skill_triggers,skill_flows,skill_process builder,skill_sales cloud,skill_service cloud,skill_marketing cloud,skill_community cloud,skill_experience cloud,skill_cpq,skill_field service,skill_einstein,skill_integration,skill_mulesoft,skill_heroku,skill_rest api,skill_soap api,skill_oauth,skill_salesforce admin,skill_platform developer,skill_ci/cd,skill_devops,skill_git,skill_bitbucket,skill_jira,skill_test classes,skill_unit testing,skill_sfdx,skill_data loader,skill_profiles,skill_permission sets,skill_sharing rules,skill_validation rules,skill_workflow,skill_reports,skill_dashboards,skill_objects,skill_fields,skill_page layouts,skill_record types,skill_approval process
resume_09.txt,,aditi.chopra@example.com,+91-9313579170,3.0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1
resume_08.txt,,aditi.mehta@example.com,+91-9925276600,7.0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0
resume_01.txt,,vihaan.sharma@example.com,+91-9896233790,4.0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0
resume_03.txt,,vihaan.patel@example.com,+91-9507943839,2.0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1
resume_02.txt,,aditi.iyer@example.com,+91-9868820204,7.0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0
resume_06.txt,,anaya.patel@example.com,+91-9326541099,6.0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
resume_07.txt,,aditi.kapoor@example.com,+91-9197613238,2.0,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
resume_05.txt,,vihaan.chopra@example.com,+91-9781802744,3.0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0
resume_10.txt,,rahul.patel@example.com,+91-9191969690,7.0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0
resume_04.txt,,vihaan.sharma@example.com,+91-9810026086,3.0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
